"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT"""
Jyoti Structures Limited,Financial Result Updates,"Jyoti Structures Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 22:37:55,2023-11-07 22:37:55,07-Nov-2023 22:37:58,00:00:03,https://nsearchives.nseindia.com/corporate/FINALCONSO_07112023223755.pdf,
Jyoti Structures Limited,Financial Result Updates,"Jyoti Structures Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 22:37:03,2023-11-07 22:37:03,07-Nov-2023 22:37:06,00:00:03,https://nsearchives.nseindia.com/corporate/FINALSTAND_07112023223703.pdf,
Jyoti Structures Limited,Outcome of Board Meeting,"Jyoti Structures Limited has informed the Exchange regarding  Board meeting held on November 07, 2023.",07-Nov-2023 22:36:11,2023-11-07 22:36:11,07-Nov-2023 22:36:20,00:00:09,https://nsearchives.nseindia.com/corporate/JYOTISTRUC_07112023223611_FINALOUTCOME.pdf,
Cummins India Limited,Updates,"Cummins India Limited has informed the Exchange regarding 'schedule of Plant visit under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.'.",07-Nov-2023 22:35:50,2023-11-07 22:35:50,07-Nov-2023 22:35:57,00:00:07,https://nsearchives.nseindia.com/corporate/CUMMINSIND_07112023223550_SEIntimationAnalystSigned.pdf,
AU Small Finance Bank Limited,Credit Rating,AU Small Finance Bank Limited has informed the Exchange about Credit Rating,07-Nov-2023 22:35:26,2023-11-07 22:35:26,07-Nov-2023 22:35:31,00:00:05,https://nsearchives.nseindia.com/corporate/AUBANK_07112023223526_Credit_Rating_Intimation.pdf,
Greaves Cotton Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Greaves Cotton Limited has informed the Exchange about Presentation,07-Nov-2023 22:29:19,2023-11-07 22:29:19,07-Nov-2023 22:29:26,00:00:07,https://nsearchives.nseindia.com/corporate/GREAVESCOT_07112023222919_GCL_InvestorPresentation_07112023.pdf,
Adani Total Gas Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Total Gas Limited has informed the Exchange about Schedule of meet and Presentation,07-Nov-2023 22:17:16,2023-11-07 22:17:16,07-Nov-2023 22:17:25,00:00:09,https://nsearchives.nseindia.com/corporate/ATGL_07112023221716_INVESTORMEET.pdf,
Anant Raj Limited,Board Meeting Intimation,ANANT RAJ LIMITED has informed the Exchange about Board Meeting to be held on 11-Nov-2023 to consider Fund raising.,07-Nov-2023 22:05:00,2023-11-07 22:05:00,07-Nov-2023 22:05:08,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/ANANTRAJ_07112023220500_PRIOR_INTIMATION_14205_979780_07112023100459_WEB.xml,
Iris Clothings Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Iris Clothings Limited has informed the Exchange about Link of Recording,07-Nov-2023 22:03:43,2023-11-07 22:03:43,07-Nov-2023 22:03:47,00:00:04,https://nsearchives.nseindia.com/corporate/IRISDOREME_07112023220343_Iris_Concall_Recordings.pdf,
Max Estates Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Max Estates Limited has informed the Exchange about Schedule of meet,07-Nov-2023 21:59:18,2023-11-07 21:59:18,07-Nov-2023 21:59:27,00:00:09,https://nsearchives.nseindia.com/corporate/MAXESTATES_07112023215919_20231107EarningsConferenceCall.pdf,
Generic Engineering Construction and Projects Limited,Board Meeting Intimation,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED has informed the Exchange about Board Meeting to be held on 13-Nov-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2023 .,07-Nov-2023 21:59:15,2023-11-07 21:59:15,07-Nov-2023 21:59:20,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/GENCON_07112023215915_PRIOR_INTIMATION_14204_979778_07112023095915_WEB.xml,
Olectra Greentech Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Olectra Greentech Limited has informed the Exchange about Presentation and Link of Recording,07-Nov-2023 21:58:01,2023-11-07 21:58:01,07-Nov-2023 21:58:09,00:00:08,https://nsearchives.nseindia.com/corporate/OLECTRA_07112023215802_Outcome_07112023_Signed.pdf,
Reliance Communications Limited,Resignation,"Reliance Communications Limited has informed the Exchange regarding Resignation of Mr Viswanath Devaraja Rao as Executive Director  and Chief Financial Officer of the company w.e.f. November 01, 2023.",07-Nov-2023 23:24:37,2023-11-07 23:24:37,07-Nov-2023 23:24:43,00:00:06,https://nsearchives.nseindia.com/corporate/RCOM_07112023232437_RCOMReg30ResignationofCFOup.pdf,
Zenith Steel Pipes & Industries Limited,Financial Result Updates,"Zenith Steel Pipes & Industries Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 00:37:50,2023-11-07 00:37:50,07-Nov-2023 00:37:59,00:00:09,https://nsearchives.nseindia.com/corporate/Outcome_07112023003750.pdf,
Zenith Steel Pipes & Industries Limited,Outcome of Board Meeting,"Zenith Steel Pipes & Industries Limited has informed the Exchange regarding  Board meeting held on November 06, 2023.",07-Nov-2023 00:29:21,2023-11-07 00:29:21,07-Nov-2023 00:29:32,00:00:11,https://nsearchives.nseindia.com/corporate/ZENITHSTL_07112023002921_Outcome.pdf,
Dynacons Systems & Solutions Limited,Updates,"Dynacons Systems & Solutions Limited has informed the Exchange regarding 'Press Release and Intimation under Regulation 30 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (SEBI Listing Regulations) by Dynacons Systems & Solutions Limited ( the Company ) in respect of Incorporation of an Associate Company'.",07-Nov-2023 00:05:43,2023-11-07 00:05:43,07-Nov-2023 00:05:55,00:00:12,https://nsearchives.nseindia.com/corporate/DSSL_07112023000543_PRESSRELEASEINTIMATIONDSSL06112023.pdf,
Sanofi India Limited,Updates,Sanofi India Limited has informed the Exchange regarding 'Results of Postal ballot'.,07-Nov-2023 00:01:49,2023-11-07 00:01:49,07-Nov-2023 00:02:00,00:00:11,https://nsearchives.nseindia.com/corporate/SANOFI_07112023000149_Announcment.pdf,
Dynacons Systems & Solutions Limited,Press Release,"Dynacons Systems & Solutions Limited has informed the Exchange regarding a press release dated November 06, 2023, titled Dynacons Systems & Solutions Limited announces Establishment of a State-of-the-Art Security Operations Center (SOC) through its newly incorporated Associate Company  CyberconsInfosec Private Limited .",07-Nov-2023 00:00:38,2023-11-07 00:00:38,07-Nov-2023 00:00:51,00:00:13,https://nsearchives.nseindia.com/corporate/DSSL_07112023000038_PRESSRELEASEINTIMATIONDSSL06112023.pdf,
Usha Martin Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Link of Recording,06-Nov-2023 23:28:00,2023-11-06 23:28:00,06-Nov-2023 23:28:06,00:00:06,https://nsearchives.nseindia.com/corporate/USHAMART_06112023232800_SEIntimationAudioRecordingQ2FY24.pdf,
TVS Supply Chain Solutions Limited,Related Party Transactions,"Tvs Supply Chain Solutions Limited has informed the Exchange about related Party Transactions for the half year ended September 30, 2023",06-Nov-2023 23:26:06,2023-11-06 23:26:06,06-Nov-2023 23:26:11,00:00:05,https://nsearchives.nseindia.com/corporate/TVSSCS_06112023232606_RPT.pdf,
Repco Home Finance Limited,Change in Management,Repco Home Finance Limited has informed the Exchange about change in Management,06-Nov-2023 23:25:40,2023-11-06 23:25:40,06-Nov-2023 23:25:45,00:00:05,https://nsearchives.nseindia.com/corporate/REPCOHOME_06112023232540_Appointment.pdf,
Vedant Fashions Limited,Analysts/Institutional Investor Meet/Con. Call Updates,"Vedant Fashions Limited has informed the Exchange about the Transcript of the Conference Call organised and held on Wednesday, November 1, 2023.",06-Nov-2023 23:23:26,2023-11-06 23:23:26,06-Nov-2023 23:23:32,00:00:06,https://nsearchives.nseindia.com/corporate/MANYAVAR_06112023232326_VFLIntiConCallTranscript.pdf,
Bata India Limited,Press Release,"Pursuant to Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015 (as amended), Bata India Limited has informed about Press Release",06-Nov-2023 23:14:25,2023-11-06 23:14:25,06-Nov-2023 23:14:32,00:00:07,https://nsearchives.nseindia.com/corporate/BATAINDIA_06112023231425_Bata_SE_JC.pdf,
Yes Bank Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Yes Bank Limited has informed the Exchange about Schedule of meet - Outcome,06-Nov-2023 23:12:31,2023-11-06 23:12:31,06-Nov-2023 23:12:39,00:00:08,https://nsearchives.nseindia.com/corporate/YESBANK_06112023231231_SE_Analyst_Call_Outcome_06112023.pdf,
Rupa & Company Limited,Investor Presentation,Rupa & Company Limited has informed the Exchange about Investor Presentation,06-Nov-2023 23:11:46,2023-11-06 23:11:46,06-Nov-2023 23:11:52,00:00:06,https://nsearchives.nseindia.com/corporate/RUPA_06112023231146_Rupa_IP.pdf,
Max Healthcare Institute Limited,Updates,Max Healthcare Institute Limited has informed the Exchange regarding update on Petition filed by the Company against Touch Healthcare Private Limited and Others.,06-Nov-2023 23:10:17,2023-11-06 23:10:17,06-Nov-2023 23:10:22,00:00:05,https://nsearchives.nseindia.com/corporate/MAXHEALTH_06112023231017_SE_Intimation_Care_Litigation_Update.pdf,
Dynamatic Technologies Limited,Updates,Dynamatic Technologies Limited has informed the Exchange regarding 'Corporate Announcement'.,06-Nov-2023 22:55:11,2023-11-06 22:55:11,06-Nov-2023 22:55:18,00:00:07,https://nsearchives.nseindia.com/corporate/DYNAMATECH_06112023225511_Stock_Exchange_Announcement_06112023.pdf,
Rossari Biotech Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Intimation of Analysts/Institutional Investor Meet/Con. Call Updates,06-Nov-2023 22:53:42,2023-11-06 22:53:42,06-Nov-2023 22:53:49,00:00:07,https://nsearchives.nseindia.com/corporate/ROSSARI_06112023225342_20231106_Intimation_of_investor_Call.pdf,
HCL Technologies Limited,Loss of Share Certificates,HCL Technologies Limited has informed the Exchange about Loss of Share Certificates,06-Nov-2023 22:45:19,2023-11-06 22:45:19,06-Nov-2023 22:45:23,00:00:04,https://nsearchives.nseindia.com/corporate/HCLTECH_06112023224519_IntimationtoStockExchange.pdf,
Seamec Limited,Loss of Share Certificates,Seamec Limited has informed the Exchange about Loss of Share Certificates,06-Nov-2023 22:43:40,2023-11-06 22:43:40,06-Nov-2023 22:43:46,00:00:06,https://nsearchives.nseindia.com/corporate/SEAMECLTD_06112023224340_NSEIssueofLOCforDSC06112023.pdf,
TREJHARA SOLUTIONS LIMITED,Updates,TREJHARA SOLUTIONS LIMITED has informed the Exchange regarding 'Corrigendum No. 2 to the Notice of Sixth Annual General Meeting'.,06-Nov-2023 22:39:00,2023-11-06 22:39:00,06-Nov-2023 22:39:07,00:00:07,https://nsearchives.nseindia.com/corporate/TREJHARA_06112023223900_TSL_Corrigendum_2_AGM_Notice_29_09_2023_.pdf,
KPI Green Energy Limited,Analysts/Institutional Investor Meet/Con. Call Updates,KPI Green Energy Limited has informed the Exchange about Schedule of meet,06-Nov-2023 22:36:04,2023-11-06 22:36:04,06-Nov-2023 22:36:11,00:00:07,https://nsearchives.nseindia.com/corporate/KPIGREEN_06112023223604_12_KPI_Intimation_of_Investor_Meet_06112023_signed.pdf,
Campus Activewear Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Campus Activewear Limited has informed the Exchange about Schedule of meet,06-Nov-2023 22:31:34,2023-11-06 22:31:34,06-Nov-2023 22:31:41,00:00:07,https://nsearchives.nseindia.com/corporate/CAMPUS_06112023223134_CAMPUSCONCALLSEP2023.pdf,
Suryoday Small Finance Bank Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,SURYODAY SMALL FINANCE BANK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,02-Nov-2023 00:21:29,2023-11-02 00:21:29,02-Nov-2023 00:21:39,00:00:10,https://nsearchives.nseindia.com/corporate/xbrl/SURYODAY_02112023002129_CIM_13532_974004_02112023122129_WEB.xml,
Suryoday Small Finance Bank Limited,Appointment,"Suryoday Small Finance Bank Limited has informed the Exchange regarding Appointment of Mr Krishna Prasad Nair as Chairman of the company w.e.f. November 01, 2023.",02-Nov-2023 00:00:49,2023-11-02 00:00:49,02-Nov-2023 00:01:00,00:00:11,https://nsearchives.nseindia.com/corporate/SURYODAY_02112023000049_SSFB_Intimation_App_Part_time_Chairman_sd.pdf,
EPL Limited,Analysts/Institutional Investor Meet/Con. Call Updates,EPL Limited has informed the Exchange about Investor Conference Call,01-Nov-2023 23:57:25,2023-11-01 23:57:25,01-Nov-2023 23:57:30,00:00:05,https://nsearchives.nseindia.com/corporate/EPL_01112023235725_IntimationOfConcall_FinalSd.pdf,
Yuken India Limited,Board Meeting Intimation,YUKEN INDIA LIMITED has informed the Exchange about Board Meeting to be held on 08-Nov-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended September 2023 .,01-Nov-2023 23:54:46,2023-11-01 23:54:46,01-Nov-2023 23:54:52,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/YUKEN_01112023235446_PRIOR_INTIMATION_13531_973996_01112023115445_WEB.xml,
Mtar Technologies Limited,Board Meeting Intimation,MTAR TECHNOLOGIES LIMITED has informed the Exchange about Board Meeting to be held on 08-Nov-2023 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended September 2023 and Other business.,01-Nov-2023 23:52:19,2023-11-01 23:52:19,01-Nov-2023 23:52:26,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/MTARTECH_01112023235219_PRIOR_INTIMATION_13530_973994_01112023115219_WEB.xml,
EPL Limited,Credit Rating,EPL Limited has informed the Exchange about Credit Rating,01-Nov-2023 23:48:39,2023-11-01 23:48:39,01-Nov-2023 23:48:45,00:00:06,https://nsearchives.nseindia.com/corporate/EPL_01112023234839_IntimationOfCreditRating_FinalSd.pdf,
PPAP Automotive Limited,Record Date,PPAP Automotive Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Nov-2023.,01-Nov-2023 23:47:36,2023-11-01 23:47:36,01-Nov-2023 23:47:43,00:00:07,https://nsearchives.nseindia.com/corporate/PPAP_01112023234736_BMIntimation.pdf,
V-Guard Industries Limited,Analysts/Institutional Investor Meet/Con. Call Updates,V-Guard Industries Limited has informed the Exchange about Link of Recording,01-Nov-2023 23:42:59,2023-11-01 23:42:59,01-Nov-2023 23:43:05,00:00:06,https://nsearchives.nseindia.com/corporate/VGUARD_01112023234259_RecordingIntimation.pdf,
EPL Limited,Board Meeting Intimation,EPL LIMITED has informed the Exchange about Board Meeting to be held on 08-Nov-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2024 .,01-Nov-2023 23:41:33,2023-11-01 23:41:33,01-Nov-2023 23:41:38,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/EPL_01112023234133_PRIOR_INTIMATION_13529_973991_01112023114132_WEB.xml,
Welspun Corp Limited,Updates,Welspun Corp Limited has informed the Exchange regarding 'changes in senior managerial personnel by the Company s wholly-owned subsidiary namely Sintex-BAPL Limited'.,01-Nov-2023 23:38:02,2023-11-01 23:38:02,01-Nov-2023 23:38:09,00:00:07,https://nsearchives.nseindia.com/corporate/WELCORP_01112023233802_Disclosure01112023.pdf,
ANDHRA PAPER LIMITED,Loss of Share Certificates,ANDHRA PAPER LIMITED has informed the Exchange about issue of duplicate share certificates for 300 equity shares of Rs.10/- each in lieu of share certificates reported as lost as per details in the covering note attached herewith.,01-Nov-2023 23:37:10,2023-11-01 23:37:10,01-Nov-2023 23:37:16,00:00:06,https://nsearchives.nseindia.com/corporate/ANDHRAPAP_01112023233710_Intimationofissueofduplicatesharecertificates01112023.pdf,
Dhampur Sugar Mills Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Dhampur Sugar Mills Limited has informed the Exchange about Link of Recording,01-Nov-2023 23:26:57,2023-11-01 23:26:57,01-Nov-2023 23:27:02,00:00:05,https://nsearchives.nseindia.com/corporate/DHAMPURSUG_01112023232657_Intimation_01112023.pdf,
REC Limited,Analysts/Institutional Investor Meet/Con. Call Updates,REC Limited has informed the Exchange about Link of Recording,01-Nov-2023 23:24:38,2023-11-01 23:24:38,01-Nov-2023 23:24:45,00:00:07,https://nsearchives.nseindia.com/corporate/RECLTD_01112023232438_InvestorOutcome.pdf,
