"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT""",<!DOCTYPE html>
DKEGL,D.K. Enterprises Global Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","D.K. Enterprises Global Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",05-Jan-2024 18:11:52,2024-01-05 18:11:52,05-Jan-2024 18:11:57,00:00:05,https://nsearchives.nseindia.com/corporate/DKEGL_05012024181152_ALLDOCSSigned.pdf,
PROV,Proventus Agrocom Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Proventus Agrocom Limited has informed the Exchange about Schedule of meet,05-Jan-2024 18:05:19,2024-01-05 18:05:19,05-Jan-2024 18:05:23,00:00:04,https://nsearchives.nseindia.com/corporate/PROV_05012024180519_AnnouncementunderReg30_LODR.pdf,
CRAYONS,Crayons Advertising Limited,Alteration Of Capital and Fund Raising-XBRL,CRAYONS ADVERTISING LIMITED has informed the Exchange regarding Allotment of Securities,05-Jan-2024 17:49:46,2024-01-05 17:49:46,05-Jan-2024 17:49:50,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/CRAYONS_05012024174946_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1008834_05012024054945_WEB.xml,
YCCL,Yasons Chemex Care Limited,Updates,Yasons Chemex Care Limited has informed the Exchange regarding 'Declaration about non applicability of Corporate Governance Report'.,05-Jan-2024 17:28:14,2024-01-05 17:28:14,05-Jan-2024 17:28:30,00:00:16,https://nsearchives.nseindia.com/corporate/YCCL_05012024172814_DeclarationfornonapplicabilityofcorporateGovernancesigned.pdf,
SEL,Sungarner Energies Limited,Updates,Non Applicability of Corporate Governance Report,05-Jan-2024 17:18:01,2024-01-05 17:18:01,05-Jan-2024 17:18:05,00:00:04,https://nsearchives.nseindia.com/corporate/SEL_05012024171801_CGNonApplicabilityReport_SungarnerEnergiesLimited_December2023.pdf,
AMJUMBO,A and M Jumbo Bags Limited,Appointment,"A and M Jumbo Bags Limited has informed the Exchange regarding Appointment of Ms Shweta A Saparia as Independent Director of the company w.e.f. January 05, 2024.",05-Jan-2024 17:05:09,2024-01-05 17:05:09,05-Jan-2024 17:05:14,00:00:05,https://nsearchives.nseindia.com/corporate/AMJUMBO_05012024170509_BMAppointmentofindependentdirector.pdf,
AMJUMBO,A and M Jumbo Bags Limited,Outcome of Board Meeting,"A and M Jumbo Bags Limited has informed the Exchange regarding Outcome of Board Meeting held on January 05, 2024.",05-Jan-2024 16:56:21,2024-01-05 16:56:21,05-Jan-2024 16:56:28,00:00:07,https://nsearchives.nseindia.com/corporate/AMJUMBO_05012024165621_BMOUTCOME05012024.pdf,
SEL,Sungarner Energies Limited,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,Sungarner Energies Limited has informed regarding Submission of the Compliance Report on Corporate Governance for the Q_ FY 20__-__,05-Jan-2024 16:53:14,2024-01-05 16:53:14,05-Jan-2024 16:53:18,00:00:04,https://nsearchives.nseindia.com/corporate/SEL_05012024165314_CGNonApplicabilityReport_SungarnerEnergiesLimited_December2023.pdf,
ACCENTMIC,Accent Microcell Limited,Copy of Newspaper Publication,"Accent Microcell Limited has informed the Exchange about Copy of Newspaper Publication of the Unaudited Financial results for the Half Year ended 30th September, 2023",05-Jan-2024 14:12:47,2024-01-05 14:12:47,05-Jan-2024 14:12:50,00:00:03,https://nsearchives.nseindia.com/corporate/ACCENTMIC_05012024141247_Newspaperpublication.pdf,
BHALCHANDR,Bhalchandram Clothing Limited,Reply to Clarification- Financial results,"The Exchange had sought clarification from Bhalchandram Clothing Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted -2. Financial results not signed by authorized signatory/ies The response of the Company is enclosed.",21-Dec-2023 11:42:17,2023-12-21 11:42:17,21-Dec-2023 11:42:23,00:00:06,https://nsearchives.nseindia.com/corporate/BHALCHANDR_21122023114217_ClarificationLetterDated19122023.pdf,
BHALCHANDR,Bhalchandram Clothing Limited,Reply to Clarification- Financial results,"The Exchange had sought clarification from Bhalchandram Clothing Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. Segment details not submitted The response of the Company is enclosed.",21-Dec-2023 11:28:49,2023-12-21 11:28:49,21-Dec-2023 11:28:56,00:00:07,https://nsearchives.nseindia.com/corporate/BHALCHANDR_21122023112849_ClarificationLetterDated19122023.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Clarification - Financial Results,"The Exchange has sought clarification from GIR Natureview Resorts Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted -2. Financial results not signed by authorized signatory/ies The response of the Company is awaited.",14-Dec-2023 17:10:54,2023-12-14 17:10:54,14-Dec-2023 17:10:58,"00:00:04,",,
3RDROCK,3rd Rock Multimedia Limited,Clarification - Financial Results,"The Exchange has sought clarification from 3rd Rock Multimedia Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted -2. Financial results not signed by authorized signatory/ies The response of the Company is awaited.",14-Dec-2023 17:09:02,2023-12-14 17:09:02,14-Dec-2023 17:09:07,"00:00:05,",,
ABNINT,A B N Intercorp Limited,Updates,A B N Intercorp Limited has informed the Exchange regarding 'Financial Result in Machine readable Form'.,13-Dec-2023 18:33:53,2023-12-13 18:33:53,13-Dec-2023 18:33:56,00:00:03,https://nsearchives.nseindia.com/corporate/ABNINT_13122023183353_ABNFullResult.pdf,
BHALCHANDR,Bhalchandram Clothing Limited,Clarification - Financial Results,"The Exchange has sought clarification from Bhalchandram Clothing Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted -2. Financial results not signed by authorized signatory/ies The response of the Company is awaited.",11-Dec-2023 10:47:21,2023-12-11 10:47:21,11-Dec-2023 10:47:25,"00:00:04,",,
BHALCHANDR,Bhalchandram Clothing Limited,Clarification - Financial Results,"The Exchange has sought clarification from Bhalchandram Clothing Limited for the quarter ended 30-Sep-2023 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company is required to clarify the following:  -1. Segment details not submitted The response of the Company is awaited.",11-Dec-2023 10:45:38,2023-12-11 10:45:38,11-Dec-2023 10:45:42,"00:00:04,",,
GIRRESORTS,GIR Natureview Resorts Limited,Related Party Transactions,GIR Natureview Resorts Limited has informed the Exchange about related Party Transactions,11-Nov-2023 16:22:23,2023-11-11 16:22:23,11-Nov-2023 16:22:27,00:00:04,https://nsearchives.nseindia.com/corporate/GIRRESORTS_11112023162223_RPTGIRSD2023.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Outcome of Board Meeting,"GIR Natureview Resorts Limited has informed the Exchange regarding  Board meeting held on November 11, 2023.",11-Nov-2023 16:14:12,2023-11-11 16:14:12,11-Nov-2023 16:14:16,00:00:04,https://nsearchives.nseindia.com/corporate/GIRRESORTS_11112023161412_NewBMOutcome14112023GIR.pdf,
3RDROCK,3rd Rock Multimedia Limited,Related Party Transactions,3rd Rock Multimedia Limited has informed the Exchange about related Party Transactions,11-Nov-2023 14:59:02,2023-11-11 14:59:02,11-Nov-2023 14:59:07,00:00:05,https://nsearchives.nseindia.com/corporate/3RDROCK_11112023145902_rpt3rdrockSD.pdf,
3RDROCK,3rd Rock Multimedia Limited,Outcome of Board Meeting,"3rd Rock Multimedia Limited has informed the Exchange regarding  Board meeting held on November 11, 2023.",11-Nov-2023 14:37:02,2023-11-11 14:37:02,11-Nov-2023 14:37:05,00:00:03,https://nsearchives.nseindia.com/corporate/3RDROCK_11112023143702_Finalbmoutcome3rdrock.pdf,
ABNINT,A B N Intercorp Limited,Outcome of Board Meeting,"A B N Intercorp Limited has informed the Exchange regarding  Board meeting held on November 10, 2023.",10-Nov-2023 17:26:55,2023-11-10 17:26:55,10-Nov-2023 17:27:21,00:00:26,https://nsearchives.nseindia.com/corporate/ABNINT_10112023172655_BMOutcome.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of GIR Natureview Resorts Limited schedule to be held on today i.e. Monday 6thNovember, 2023.",06-Nov-2023 16:58:26,2023-11-06 16:58:26,06-Nov-2023 16:58:36,00:00:10,https://nsearchives.nseindia.com/corporate/GIRRESORTS_06112023165826_adjournmentnoticeGIR.pdf,
3RDROCK,3rd Rock Multimedia Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of 3rd Rock Multimedia Limited schedule to be held on today i.e. Monday 06th November, 2023.",06-Nov-2023 15:29:02,2023-11-06 15:29:02,06-Nov-2023 15:29:06,00:00:04,https://nsearchives.nseindia.com/corporate/3RDROCK_06112023152902_BMIntimation3rdrock.pdf,
BDR,BDR Buildcon Limited,Outcome of Board Meeting,"BDR Buildcon Limited has informed the Exchange regarding  Board meeting held on November 05, 2023.",05-Nov-2023 16:32:09,2023-11-05 16:32:09,05-Nov-2023 16:32:18,00:00:09,https://nsearchives.nseindia.com/corporate/BDR_05112023163209_FinancialsSep2023merged.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of GIR Natureview Resorts Limited schedule to be held on today i.e.Saturday4thNovember, 2023.",04-Nov-2023 14:28:36,2023-11-04 14:28:36,04-Nov-2023 14:28:40,00:00:04,https://nsearchives.nseindia.com/corporate/GIRRESORTS_04112023142836_adjournmentnotice.pdf,
3RDROCK,3rd Rock Multimedia Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of 3rd Rock Multimedia Limited schedule to be held on today i.e. Saturday 04th November, 2023.",04-Nov-2023 14:24:00,2023-11-04 14:24:00,04-Nov-2023 14:24:03,00:00:03,https://nsearchives.nseindia.com/corporate/3RDROCK_04112023142400_BMIntimationadjourn.pdf,
BHALCHANDR,Bhalchandram Clothing Limited,Outcome of Board Meeting,"Bhalchandram Clothing Limited has informed the Exchange regarding  Board meeting held on November 03, 2023.",03-Nov-2023 16:12:58,2023-11-03 16:12:58,03-Nov-2023 16:13:02,00:00:04,https://nsearchives.nseindia.com/corporate/BHALCHANDR_03112023161258_BMOutcomeBCLSigned.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Updates,GIR Natureview Resorts Limited has informed the Exchange regarding 'Intimation of Board Meeting.'.,28-Oct-2023 16:11:31,2023-10-28 16:11:31,28-Oct-2023 16:11:35,00:00:04,https://nsearchives.nseindia.com/corporate/GIRRESORTS_28102023161131_BMIntimtionGIR.pdf,
3RDROCK,3rd Rock Multimedia Limited,Updates,"3rd Rock Multimedia Limited has informed the Exchange regarding 'Intimation of Notice of 03/2023-2024 Board Meeting Schedule to be held on Saturday, 04th November, 2023'.",28-Oct-2023 16:01:39,2023-10-28 16:01:39,28-Oct-2023 16:01:45,00:00:06,https://nsearchives.nseindia.com/corporate/3RDROCK_28102023160139_BMIntimation.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of GIR Natureview Resorts Limited schedule to be held on today i.e.Saturday4thNovember, 2023.",04-Nov-2023 14:28:36,2023-11-04 14:28:36,04-Nov-2023 14:28:39,00:00:03,https://nsearchives.nseindia.com/corporate/GIRRESORTS_04112023142836_adjournmentnotice.pdf,
3RDROCK,3rd Rock Multimedia Limited,Board Meeting Adjourned,"Postpone of Meeting of the Board of Directors of 3rd Rock Multimedia Limited schedule to be held on today i.e. Saturday 04th November, 2023.",04-Nov-2023 14:24:00,2023-11-04 14:24:00,04-Nov-2023 14:24:02,00:00:02,https://nsearchives.nseindia.com/corporate/3RDROCK_04112023142400_BMIntimationadjourn.pdf,
GIRRESORTS,GIR Natureview Resorts Limited,Updates,GIR Natureview Resorts Limited has informed the Exchange regarding 'Intimation of Board Meeting.'.,28-Oct-2023 16:11:31,2023-10-28 16:11:31,28-Oct-2023 16:11:34,00:00:03,https://nsearchives.nseindia.com/corporate/GIRRESORTS_28102023161131_BMIntimtionGIR.pdf,
3RDROCK,3rd Rock Multimedia Limited,Updates,"3rd Rock Multimedia Limited has informed the Exchange regarding 'Intimation of Notice of 03/2023-2024 Board Meeting Schedule to be held on Saturday, 04th November, 2023'.",28-Oct-2023 16:01:39,2023-10-28 16:01:39,28-Oct-2023 16:01:43,00:00:04,https://nsearchives.nseindia.com/corporate/3RDROCK_28102023160139_BMIntimation.pdf,
AURDIS,Aurangabad Distillery Limited,Updates,Aurangabad Distillery Limited has informed the Exchange regarding 'Scrutinizer Report of Postal Ballot'.,02-Jan-2024 20:58:31,2024-01-02 20:58:31,02-Jan-2024 20:58:34,00:00:03,https://nsearchives.nseindia.com/corporate/AURDIS_02012024205831_ADLIntimationofEvotingwithScrutinizerReportfinal.pdf,
FELIX,Felix Industries Limited,Updates,Felix Industries Limited has informed the Exchange regarding 'Inclusion of two new shareholders in the Wholly Owned Subsidiary incorporated inOman and consequent conversion from SPC to LLC'.Inclusion of two new shareholders in the Wholly Owned Subsidiary incorporated inOman and consequent conversion from SPC to LLC,02-Jan-2024 19:24:01,2024-01-02 19:24:01,02-Jan-2024 19:24:07,00:00:06,https://nsearchives.nseindia.com/corporate/FELIX_02012024192401_disclosureforsubsidiary.pdf,
FELIX,Felix Industries Limited,Preferential issue,"Felix Industries Limited has informed the Exchange about Preferential issue of share warrants in terms of Chapter V of the Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018, as amended",02-Jan-2024 19:15:40,2024-01-02 19:15:40,02-Jan-2024 19:15:44,00:00:04,https://nsearchives.nseindia.com/corporate/FELIX_02012024191540_issueofsecurities.pdf,
FELIX,Felix Industries Limited,Amendment to AOA/MOA,Felix Industries Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,02-Jan-2024 19:13:06,2024-01-02 19:13:06,02-Jan-2024 19:13:10,00:00:04,https://nsearchives.nseindia.com/corporate/FELIX_02012024191306_AltereationofAuthorisedSharecapital.pdf,
FELIX,Felix Industries Limited,Outcome of Board Meeting,"Felix Industries Limited has informed the Exchange regarding  Board meeting held on January 02, 2024.",02-Jan-2024 19:06:19,2024-01-02 19:06:19,02-Jan-2024 19:06:22,00:00:03,https://nsearchives.nseindia.com/corporate/FELIX_02012024190619_BMoutcome.pdf,
SPECTRUM,Spectrum Electrical Industries Limited,Corrigendum,"Spectrum Electrical Industries Limited has informed the Exchange regarding Corrigendum to Notice of Extra Ordinary General Meeting to be held on January 15, 2024",02-Jan-2024 18:55:30,2024-01-02 18:55:30,02-Jan-2024 18:55:35,00:00:05,https://nsearchives.nseindia.com/corporate/SPECTRUM_02012024185530_SPECTRUM_Corrigendum_of_EGM_Notice.pdf,
MAHICKRA,Mahickra Chemicals Limited,Book Closure,Mahickra Chemicals Limited has informed the Exchange that Register of Members & Share Transfer Books of the Company will remain closed from 17-Jan-2024 to 24-Jan-2024 for the purpose of Extra-Ordinary General Meeting.,02-Jan-2024 17:56:06,2024-01-02 17:56:06,02-Jan-2024 17:56:12,00:00:06,https://nsearchives.nseindia.com/corporate/MAHICKRA_02012024175606_IntimationofBookClosure02012024.pdf,
MAHICKRA,Mahickra Chemicals Limited,Notice Of Shareholders Meetings-XBRL,MAHICKRA CHEMICALS LIMITED has informed the Exchange about Notice of Shareholders Meeting for Extra-ordinary Meeting to be held on 24-Jan-2024,02-Jan-2024 17:53:04,2024-01-02 17:53:04,02-Jan-2024 17:53:08,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/MAHICKRA_02012024175304_NOTICE_OF_SHAREHOLDERS_MEETINGS_1006747_02012024055303_WEB.xml,
MAHICKRA,Mahickra Chemicals Limited,Shareholders meeting,"Mahickra Chemicals Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on January 24, 2024",02-Jan-2024 17:47:53,2024-01-02 17:47:53,02-Jan-2024 17:48:00,00:00:07,https://nsearchives.nseindia.com/corporate/MAHICKRA_02012024174753_IntimationofNoticeofEOGM02012024.pdf,
ESFL,Essen Speciality Films Limited,Board Meeting Intimation,ESSEN SPECIALITY FILMS LIMITED has informed the Exchange about Board Meeting to be held on 12-Jan-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended December 2023 .,02-Jan-2024 17:24:05,2024-01-02 17:24:05,02-Jan-2024 17:24:08,00:00:03,https://nsearchives.nseindia.com/corporate/xbrl/ESFL_02012024172405_PRIOR_INTIMATION_15691_1006695_02012024052404_WEB.xml,
TIMESCAN,Timescan Logistics (India) Limited,Trading Window,"Timescan Logistics (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",02-Jan-2024 17:21:27,2024-01-02 17:21:27,02-Jan-2024 17:21:31,00:00:04,https://nsearchives.nseindia.com/corporate/TIMESCAN_02012024172127_Intimation_of_trading_window_Closure.pdf,
LRRPL,Lead Reclaim And Rubber Products Limited,Updates,"Lead Reclaim And Rubber Products Limited has informed the Exchange regarding 'Intimation under regulation 30 of SEBI LODR Regulations, 2015 '.",02-Jan-2024 17:16:51,2024-01-02 17:16:51,02-Jan-2024 17:16:57,00:00:06,https://nsearchives.nseindia.com/corporate/LRRPL_02012024171651_Intimation.pdf,
LRRPL,Lead Reclaim And Rubber Products Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,02-Jan-2024 17:12:01,2024-01-02 17:12:01,02-Jan-2024 17:12:05,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/LRRPL_02012024171201_CIM_15690_1006673_02012024051201_WEB.xml,
LRRPL,Lead Reclaim And Rubber Products Limited,Resignation,"Lead Reclaim And Rubber Products Limited has informed the Exchange regarding Resignation of Mr MANISH KANCHANBHAI PATEL  as Independent Director of the company w.e.f. January 02, 2024.",02-Jan-2024 17:01:15,2024-01-02 17:01:15,02-Jan-2024 17:01:20,00:00:05,https://nsearchives.nseindia.com/corporate/LRRPL_02012024170115_Intimation.pdf,
ESFL,Essen Speciality Films Limited,Credit Rating,Essen Speciality Films Limited has informed the Exchange about Credit Rating,02-Jan-2024 16:48:00,2024-01-02 16:48:00,02-Jan-2024 16:48:03,00:00:03,https://nsearchives.nseindia.com/corporate/ESFL_02012024164800_Credit_Ratings_Reg_30.pdf,
INNOVANA,Innovana Thinklabs Limited,Updates,Innovana Thinklabs Limited has informed the Exchange regarding 'Intimation of Share Issuance by Subsidiary - Innovana Fitness Labs Limited '.,02-Jan-2024 14:52:31,2024-01-02 14:52:31,02-Jan-2024 14:52:34,00:00:03,https://nsearchives.nseindia.com/corporate/INNOVANA_02012024145231_Intimation_Sub.pdf,
MARCO,Marco Cables & Conductors Limited,Notice Of Shareholders Meetings-XBRL,Marco Cables & Conductors Limited has informed the Exchange about Notice of Shareholders Meeting for Postal Ballot,02-Jan-2024 14:47:09,2024-01-02 14:47:09,02-Jan-2024 14:47:15,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/MARCO_02012024144709_NOTICE_OF_SHAREHOLDERS_MEETINGS_1006469_02012024024709_WEB.xml,
MARCO,Marco Cables & Conductors Limited,Shareholders meeting,Marco Cables & Conductors Limited has informed the Exchange about Shareholders meeting,02-Jan-2024 14:31:51,2024-01-02 14:31:51,02-Jan-2024 14:31:56,00:00:05,https://nsearchives.nseindia.com/corporate/MARCO_02012024143151_PostalballotNSEMARCO.pdf,
MAITREYA,Maitreya Medicare Limited,Updates,Maitreya Medicare Limited has informed the Exchange regarding 'Received BU Permission for Maitreya Hospital Private Limited'.,02-Jan-2024 14:10:52,2024-01-02 14:10:52,02-Jan-2024 14:10:57,00:00:05,https://nsearchives.nseindia.com/corporate/MAITREYA_02012024141052_ANNOUNCEMENT.pdf,
ARIHANTACA,Arihant Academy Limited,Updates,"Arihant Academy Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 for openingnew branch of Academy in Matunga (C.R.).'.",02-Jan-2024 13:20:37,2024-01-02 13:20:37,02-Jan-2024 13:20:42,00:00:05,https://nsearchives.nseindia.com/corporate/ARIHANTACA_02012024132037_Disclosure_under_Reg_30_for_opening_Matunga.pdf,
SSFL,Srivari Spices And Foods Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Srivari Spices And Foods Limited has informed the Exchange about Transcript,02-Jan-2024 10:25:32,2024-01-02 10:25:32,02-Jan-2024 10:25:37,00:00:05,https://nsearchives.nseindia.com/corporate/SSFL_02012024102532_IntimationTranscript.pdf,
PHANTOMFX,Phantom Digital Effects Limited,Monthly Business Updates,Phantom Digital Effects Limited has informed the Exchange regarding Monthly Business Updates for the month of December 2023,02-Jan-2024 10:06:52,2024-01-02 10:06:52,02-Jan-2024 10:06:59,00:00:07,https://nsearchives.nseindia.com/corporate/PHANTOMFX_02012024100652_PDELPostQIPBusinessUpdate29122023RSigned.pdf,
NPST,Network People Services Technologies Limited,Copy of Newspaper Publication,Network People Services Technologies Limited has informed the Exchange about Copy of Newspaper Publication,02-Jan-2024 09:01:49,2024-01-02 09:01:49,02-Jan-2024 09:01:52,00:00:03,https://nsearchives.nseindia.com/corporate/NPST_02012024090149_NETWORK01.pdf,
ORIANA,Oriana Power Limited,Updates,Oriana Power Limited has informed the Exchange regarding 'Intimation Of Received New Orders Aggregating to 3.51 MWp Solar Power Plant Under RESCO segment'.,02-Jan-2024 08:42:29,2024-01-02 08:42:29,02-Jan-2024 08:42:32,00:00:03,https://nsearchives.nseindia.com/corporate/ORIANA_02012024084229_Intimationofproject02012024.pdf,
FELIX,Felix Industries Limited,Outcome of Board Meeting,"Felix Industries Limited has informed the Exchange regarding  Board meeting held on January 02, 2024.",02-Jan-2024 19:06:19,2024-01-02 19:06:19,02-Jan-2024 19:06:23,00:00:04,https://nsearchives.nseindia.com/corporate/FELIX_02012024190619_BMoutcome.pdf,
SAHANA,Sahana System Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,SAHANA SYSTEM LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,01-Jan-2024 18:11:09,2024-01-01 18:11:09,01-Jan-2024 18:11:15,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/SAHANA_01012024181110_CIM_15643_1006173_01012024061109_WEB.xml,
HOLMARC,Holmarc Opto-Mechatronics Limited,Updates,Holmarc Opto-Mechatronics Limited has informed the Exchange regarding 'Establishment of Corporate Office'.,01-Jan-2024 18:04:50,2024-01-01 18:04:50,01-Jan-2024 18:04:55,00:00:05,https://nsearchives.nseindia.com/corporate/HOLMARC_01012024180450_SE_Intimation_Corporate_office.pdf,
SAHANA,Sahana System Limited,Change in Company Secretary/Compliance Officer,Sahana System Limited has informed the Exchange about Change in Company Secretary/Compliance Officer,01-Jan-2024 17:26:29,2024-01-01 17:26:29,01-Jan-2024 17:26:33,00:00:04,https://nsearchives.nseindia.com/corporate/SAHANA_01012024172629_BMoutcome.pdf,
